,lngCouncil,calCouncil,Address,City,State,Zip,Zip5,lat_lon
92,631,Savannah Council 631,3 West Liberty Street, Savannah,GA,31404-3905,31404,"(32.0543, -81.0492)"
93,5588,Holy Family Council 5588,700 Christopher Drive, Savannah,GA,31416-0355,31416,"(32.0053, -81.0477)"
94,10274,St. Benedict the Moor Council 10274,556 East Gordon Street, Savannah,GA,31401-5010,31401,"(32.0749, -81.0883)"
95,10579,Islands Council 10579,7020 Concord Road, Savannah,GA,31410,31410,"(32.0175, -80.997)"
96,10687,Queen of Peace Council 10687,1707 Bull Street, Savannah,GA,31401,31401,"(32.0749, -81.0883)"
97,12386,St. Thomas the Apostle Council 12386,4300 King Springs Road, Smyrna,GA,30082,30082,"(33.8631, -84.5382)"
98,13440,St. Oliver Plunkett Council 13440,3200 Brooks Drive, Snellville,GA,30078,30078,"(33.8635, -84.0081)"
99,14439,St. Boniface Council 14439,1952 GA Highway 21 South, Springfield,GA,31329-5207,31329,"(32.3697, -81.3618)"
100,11058,St. Marys Council 11058,106 Dillingham Street, St. Marys,GA,31558-8460,31558,"(30.7305, -81.5465)"
101,14275,St. Matthew Council 14275,221 John Paul II Avenue, Statesboro,GA,30458-5073,30458,"(32.4408, -81.774)"
102,10497,Corpus Christi Council 10497,600 Mountain View Drive, Stone Mountain,GA,30083-3546,30083,"(33.7942, -84.2018)"
103,12948,Our Lady of Grace at the Grotto Council 12948,3594 Barnesville Highway, Thomaston,GA,30286-1504,30286,"(32.9015, -84.3324)"
104,7366,Pope John Paul I Council 7366,211 North Pinetree Boulevard, Thomasville,GA,31792-3973,31792,"(30.8385, -83.9696)"
105,6918,Fr. Larry Endrizzi Council 6918,1326 Washington Road, Thomson,GA,30824,30824,"(33.4774, -82.4942)"
106,10541,"Fr. Frederick G. Kirchner, OFM Council 10541",1205 Love Avenue, Tifton,GA,31794-4028,31794,"(31.4639, -83.4999)"
107,9975,Joseph M. Malik Council 9975,231 Rothell Road Ext, Toccoa,GA,30577,30577,"(34.5665, -83.3114)"
108,8972,Mother Teresa Council 8972,215 Kirkley Road, Tyrone,GA,30290-1504,30290,"(33.4719, -84.5914)"
109,4913,Fr. John Kennedy Council 4913,306 North St. Augustine Road, Valdosta,GA,31601-4230,31601,"(30.7539, -83.3321)"
110,8568,Fr. Clem Borchers Council 8568,3119 E North Street, Vidalia,GA,30474-8735,30474,"(32.1934, -82.4067)"
111,4371,Msgr. Felix Donnelly Council 4371,133 South Commercial Circle, Warner Robins,GA,31088-4615,31088,"(32.5934, -83.6416)"
112,9942,Fr. Hillman Council 9942,2084 Riverside Avenue, Waycross,GA,31501-7056,31501,"(31.2243, -82.3596)"
113,13229,St. Matthew Council 13229,25 Wilkins Road, Winder,GA,30680-3878,30680,"(33.9985, -83.7115)"
114,11768,St. Michael the Archangel Council 11768,490 Arnold Mill Road, Woodstock,GA,30188-2848,30188,"(34.106, -84.5117)"
